@relation weka

@attribute Tipodeusuario {NewVisitor,ReturningVisitor}
@attribute Fecha numeric
@attribute Sesiones numeric
@attribute PorcentajeNuevasSesiones numeric
@attribute Usuariosnuevos numeric
@attribute Porcentajedrebote numeric
@attribute Paginassesion numeric
@attribute Duracionmedia numeric
@attribute Porcentajedconversionesdelobjetivo numeric
@attribute Objetivoscumplidos numeric
@attribute Valordelobjetivo numeric

@data
NewVisitor,20161001,11371,100,11371,91.58,1.12,38.18,0,0,0
NewVisitor,20161005,8163,100,8163,91.47,1.12,39.4,0,0,0
NewVisitor,20170201,8027,100,8027,89.93,1.16,32.68,0,0,0
NewVisitor,20161002,7000,100,7000,92.1,1.1,34.94,0,0,0
NewVisitor,20160920,6167,100,6167,91.18,1.14,33.73,0,0,0
NewVisitor,20160806,6037,100,6037,92.61,1.11,22.65,0,0,0
NewVisitor,20151110,5505,100,5505,89.63,1.16,44.1,0,0,0
NewVisitor,20170202,5373,100,5373,89.54,1.16,34.26,0,0,0
NewVisitor,20160614,5222,100,5222,92.11,1.12,25.16,0,0,0
NewVisitor,20170323,5188,100,5188,91.96,1.11,22.35,0,0,0
NewVisitor,20161006,5174,100,5174,90.49,1.14,37.89,0,0,0
NewVisitor,20160312,4921,100,4921,93.56,1.1,18.01,0,0,0
NewVisitor,20160615,4590,100,4590,91.18,1.14,28.71,0,0,0
NewVisitor,20161011,4466,100,4466,92.21,1.12,30.24,0,0,0
NewVisitor,20161003,4398,100,4398,91.27,1.13,40.93,0,0,0
NewVisitor,20160805,3924,100,3924,92.33,1.13,25.06,0,0,0
NewVisitor,20160919,3874,100,3874,90.81,1.14,31.28,0,0,0
NewVisitor,20170405,3837,100,3837,90.83,1.13,19.81,0,0,0
NewVisitor,20161004,3711,100,3711,91.57,1.12,37.43,0,0,0
NewVisitor,20170131,3551,100,3551,88.59,1.19,38.42,0,0,0
NewVisitor,20160921,3340,100,3340,90.57,1.17,39.13,0,0,0
NewVisitor,20161007,3267,100,3267,88.52,1.17,50.7,0,0,0
NewVisitor,20170324,3240,100,3240,92.1,1.11,18.46,0,0,0
NewVisitor,20161010,3139,100,3139,90.7,1.16,42.02,0,0,0
ReturningVisitor,20161001,3105,0,0,89.11,1.2,55.02,0,0,0
NewVisitor,20160509,3090,100,3090,86.73,1.21,46.72,0,0,0
NewVisitor,20161228,3089,100,3089,90.42,1.18,22.91,0,0,0
ReturningVisitor,20161007,3008,0,0,86.84,1.21,69.95,0,0,0
NewVisitor,20161121,2996,100,2996,89.72,1.16,32.76,0,0,0
NewVisitor,20170715,2968,100,2968,89.86,1.2,35.2,0,0,0
NewVisitor,20170325,2899,100,2899,90.82,1.14,28.84,0,0,0
NewVisitor,20160922,2885,100,2885,91.44,1.34,36.33,0,0,0
ReturningVisitor,20161006,2837,0,0,88.44,1.21,63.18,0,0,0
NewVisitor,20170525,2827,100,2827,89.46,1.18,30.14,0,0,0
NewVisitor,20170621,2794,100,2794,92.73,1.12,18.41,0,0,0
NewVisitor,20170629,2768,100,2768,90.25,1.17,37.37,0,0,0
ReturningVisitor,20161005,2729,0,0,89.63,1.16,54.22,0,0,0
NewVisitor,20160928,2714,100,2714,89.35,1.17,34.65,0,0,0
NewVisitor,20170705,2688,100,2688,86.76,1.22,46.39,0,0,0
NewVisitor,20150417,2659,100,2659,85.9,1.23,33.48,0,0,0
ReturningVisitor,20170715,2630,0,0,86.2,1.27,65.7,0,0,0
NewVisitor,20160613,2595,100,2595,91.45,1.14,31.36,0,0,0
ReturningVisitor,20170714,2537,0,0,85.14,1.27,72.63,0,0,0
NewVisitor,20170303,2530,100,2530,92.69,1.12,22.49,0,0,0
NewVisitor,20170706,2522,100,2522,87.87,1.23,46.33,0,0,0
ReturningVisitor,20170629,2515,0,0,84.41,1.28,77.09,0,0,0
NewVisitor,20161012,2480,100,2480,91.21,1.16,36.8,0,0,0
NewVisitor,20160511,2415,100,2415,89.4,1.2,39.12,0,0,0
NewVisitor,20161014,2406,100,2406,92.19,1.12,21.55,0,0,0
ReturningVisitor,20161228,2390,0,0,87.28,1.24,41.4,0,0,0
ReturningVisitor,20170405,2373,0,0,88.07,1.21,34.77,0,0,0
NewVisitor,20160917,2360,100,2360,90.13,1.17,34.79,0,0,0
ReturningVisitor,20170515,2336,0,0,86.3,1.25,55.88,0,0,0
NewVisitor,20170504,2335,100,2335,91.99,1.12,18.7,0,0,0
NewVisitor,20170203,2293,100,2293,91.15,1.15,30.75,0,0,0
ReturningVisitor,20170208,2249,0,0,86.88,1.26,57.48,0,0,0
NewVisitor,20170208,2244,100,2244,89.08,1.18,36.8,0,0,0
NewVisitor,20151109,2238,100,2238,89.68,1.16,36.49,0,0,0
NewVisitor,20160929,2236,100,2236,90.07,1.17,27.78,0,0,0
ReturningVisitor,20170131,2217,0,0,85.02,1.28,65.92,0,0,0
NewVisitor,20170524,2213,100,2213,85.72,1.29,51.19,0,0,0
ReturningVisitor,20170201,2210,0,0,86.02,1.25,63.33,0,0,0
NewVisitor,20160616,2206,100,2206,91.39,1.14,25.93,0,0,0
NewVisitor,20170515,2201,100,2201,88.55,1.19,38.69,0,0,0
ReturningVisitor,20170524,2199,0,0,88.4,1.18,43.47,0,0,0
NewVisitor,20160428,2187,100,2187,91.08,1.16,23.69,0,0,0
ReturningVisitor,20170315,2170,0,0,85.67,1.24,65.83,0,0,0
NewVisitor,20160712,2169,100,2169,91.93,1.13,25.1,0,0,0
NewVisitor,20170322,2135,100,2135,93.86,1.1,17.65,0,0,0
ReturningVisitor,20170705,2115,0,0,85.48,1.29,55.43,0,0,0
NewVisitor,20170714,2108,100,2108,89.09,1.2,39.86,0,0,0
NewVisitor,20160211,2097,100,2097,90.75,1.16,28.79,0,0,0
NewVisitor,20160723,2097,100,2097,93.18,1.09,13.28,0,0,0
NewVisitor,20170315,2088,100,2088,87.5,1.18,44.09,0,0,0
NewVisitor,20170721,2087,100,2087,85.58,1.26,37.03,0,0,0
NewVisitor,20170716,2070,100,2070,87.2,1.23,41.62,0,0,0
NewVisitor,20160908,2067,100,2067,89.89,1.2,32.18,0,0,0
NewVisitor,20170411,2025,100,2025,88.49,1.17,41.06,0,0,0
NewVisitor,20161013,1995,100,1995,91.68,1.14,30.41,0,0,0
NewVisitor,20170204,1946,100,1946,90.75,1.17,30.28,0,0,0
NewVisitor,20150808,1930,100,1930,92.75,1.11,21.47,0,0,0
NewVisitor,20170604,1924,100,1924,90.38,1.18,37.66,0,0,0
NewVisitor,20170519,1922,100,1922,89.07,1.17,42.42,0,0,0
NewVisitor,20160711,1905,100,1905,93.49,1.15,22.96,0,0,0
ReturningVisitor,20170706,1896,0,0,79.43,1.47,90.62,0,0,0
NewVisitor,20161227,1895,100,1895,90.29,1.18,31.97,0,0,0
NewVisitor,20170224,1889,100,1889,90.74,1.14,25.62,0,0,0
ReturningVisitor,20170411,1878,0,0,88.66,1.18,39.72,0,0,0
NewVisitor,20160313,1876,100,1876,93.82,1.09,15.49,0,0,0
ReturningVisitor,20170412,1876,0,0,87.53,1.2,60.89,0,0,0
NewVisitor,20170412,1853,100,1853,88.99,1.15,35.7,0,0,0
ReturningVisitor,20170525,1838,0,0,88.57,1.21,44.61,0,0,0
NewVisitor,20170605,1811,100,1811,90.61,1.18,28.8,0,0,0
NewVisitor,20170207,1801,100,1801,89.89,1.2,31.77,0,0,0
NewVisitor,20170426,1794,100,1794,89.97,1.17,28.84,0,0,0
